Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
North Carolina,35.885,-75.681,-2.55,0.16,0.16,2070,59,59,0,1,12,1
North Carolina,35.885,-75.681,-2.51,0.16,0.16,2034,63,63,0,1,12,1
North Carolina,35.885,-75.681,-0.17,0.16,0.16,10,3,3,0,1,12,1
North Carolina,35.885,-75.681,-2.42,0.18,0.18,1913,65,65,0,1,12,1
North Carolina,35.885,-75.681,-0.17,0.18,0.18,8,3,3,0,1,12,1
North Carolina,35.89,-75.72,-7.91,0.11,0.11,4551,256,256,-1,1,12,0
North Carolina,35.9,-75.73,-7.66,0.51,0.51,4064,231,231,-1,1,12,0
North Carolina,35.92,-75.75,-7.95,0.11,0.11,4613,231,231,-1,1,12,0
North Carolina,35.92,-75.75,-6.46,0.51,0.51,3921,425,425,-1,1,12,0
North Carolina,35.92,-75.74,-7.68,0.51,0.51,3639,190,190,-1,1,12,0
North Carolina,35.92,-75.74,-7.13,0.51,0.51,3488,172,172,-1,1,12,0
North Carolina,35.95,-75.65,-4.16,0.11,0.11,1371,164,164,-1,1,12,0
North Carolina,35.97,-75.66,-1.78,0.2,0.2,1465,83,83,0,1,12,0
North Carolina,36.02,-75.72,-15.37,1.1,1.1,8654,199,199,0,1,12,0
North Carolina,36.05,-75.69,-13.37,0.11,0.11,5898,276,276,-1,1,12,0
North Carolina,36.05,-75.69,-11.88,0.11,0.11,5484,271,271,-1,1,12,0
North Carolina,36.05,-75.7,-30.37,1.1,1.1,11419,184,184,0,1,12,0
North Carolina,36.05,-75.7,-30.37,1.1,1.1,11060,171,171,0,1,12,0
North Carolina,36.05,-75.71,-35.76,1.1,1.1,10819,243,243,0,1,12,0
North Carolina,36.11,-76.07,-8.99,0.11,0.11,5008,191,191,-1,1,12,0
North Carolina,36.11,-76.07,-15.06,0.51,0.51,6478,205,205,-1,1,12,0
North Carolina,36.11,-76.07,-9.11,0.51,0.51,4153,314,314,-1,1,12,0
North Carolina,36.11,-76.07,-6.68,0.51,0.51,2521,190,190,-1,1,12,0
North Carolina,36.11,-76.07,-8.71,0.51,0.51,6953,204,204,1,1,12,0
North Carolina,36.15,-75.33,-34,0.51,0.51,8595,887,887,-1,1,12,0
